event_key,detected_at,last_seen,person,event,category,momentum,acceleration,spice,risk,youtube_saturation,opportunity,alert,angle,status,tts_forecast_hours,window_state,window_remaining_min,sources,video_count_6h,score_version
story-bynes-launches-handbag,2026-09-26T08:55:49.779Z,2026-09-26T08:55:49.779Z,Bynes Launches Handbag,Bynes Launches Handbag: Amanda Bynes Launches Handbag Collection Under New York Speed Brand,tech,19,0,4,64,0,19,ARCHIVE,The Bynes Launches Handbag bynes launches handbag: amanda bynes launches handbag collection under new york speed brand story is actually a money story — the other side of the fight,RESEARCH,7.5,unknown,300,news,0,v2
story-bynes-called-out,2026-09-26T08:05:32.983Z,2026-09-26T08:55:49.779Z,Bynes Called Out,Bynes Called Out: Amanda Bynes Called Out by Fans for Selling Pricey Handmade Purse That Looks Like a ‘Trash Bag’,creator,17,-1,9,64,0,23,ARCHIVE,The Bynes Called Out situation is weirder than the clips suggest — the other side of the fight,RESEARCH,4.2,unknown,52,news,0,v2
story-stylist-reveals-her,2026-09-26T06:56:23.953Z,2026-09-26T08:55:49.779Z,Stylist Reveals Her,Stylist Reveals Her: Zendaya’s Stylist Reveals Her Reaction To Him Spilling The Tea On Her Marriage To Tom Holland,scandal,16,0,0,64,0,19,ARCHIVE,What the Stylist Reveals Her stylist reveals her: zendaya’s stylist reveals her reaction to him spilling the tea on her marriage to tom holland filings actually say — line by line — the other side of the fight,KEPT,3.5,closed,0,news,0,v2
story-amanda-bynes,2026-09-26T06:56:23.953Z,2026-09-26T08:55:49.779Z,Amanda Bynes,Amanda Bynes: Called Out by Fans for Selling Pricey Handmade Purse That Looks Like a ‘Trash Bag’,creator,21,-2,13,64,0,27,ARCHIVE,The Amanda Bynes situation is weirder than the clips suggest — the other side of the fight,KEPT,4.2,closed,0,trends|news,0,v2
story-tom-holland,2026-09-26T06:13:09.687Z,2026-09-26T08:55:49.779Z,Tom Holland,Tom Holland: How Zendaya Really Feels About Law Roach Announcing Her Wedding to Tom Holland,scandal,19,-1,0,64,63,16,ARCHIVE,What the Tom Holland tom holland: how zendaya really feels about law roach announcing her wedding to tom holland filings actually say — line by line — the other side of the fight,RESEARCH,2.3,closed,-175,news,25,v2
story-roger-clark,2026-09-26T06:56:23.953Z,2026-09-26T07:57:24.144Z,Roger Clark,Roger Clark: Addresses GTA 6 Comparisons to Red Dead Redemption 2,scandal,18,-1,0,64,0,19,ARCHIVE,What the Roger Clark roger clark: addresses gta 6 comparisons to red dead redemption 2 filings actually say — line by line — the other side of the fight,RESEARCH,3.5,closed,0,news,0,v2
story-officially-addresses-wild,2026-09-26T06:56:23.953Z,2026-09-26T07:57:24.144Z,Officially Addresses Wild,Officially Addresses Wild: ‘Red Dead Redemption 2’ Star Officially Addresses Wild Comparisons to 'GTA 6' [Exclusive],celebrity,18,-1,5,64,0,21,ARCHIVE,The Officially Addresses Wild story is a proxy fight about something bigger — the other side of the fight,RESEARCH,6,unknown,149,news,0,v2
story-chris-johnson,2026-09-23T20:07:39.336Z,2026-09-26T06:13:09.687Z,Chris Johnson,Chris Johnson: opens up about his heartbreaking ALS journey as former NFL star fights for more time with h,celebrity,7,0,0,64,28,13,ARCHIVE,What the Chris Johnson chris johnson: trending now filings actually say — line by line — the other side of the fight,ARCHIVED,2.6,closed,0,trends|news,11,v2
story-jennifer-aniston,2026-09-26T03:42:50.782Z,2026-09-26T03:42:50.782Z,Jennifer Aniston,Jennifer Aniston: trending now,tech,36,0,0,64,45,23,ARCHIVE,The Jennifer Aniston jennifer aniston: trending now story is actually a money story — the other side of the fight,RESEARCH,6.6,closed,0,trends|news,18,v2
story-josh-hoover,2026-09-26T01:11:46.839Z,2026-09-26T01:47:36.586Z,Josh Hoover,Josh Hoover: Indiana's Curt Cignetti blasts 'unfair scrutiny' of QB Josh Hoover,tech,26,-5,9,64,8,23,ARCHIVE,The Josh Hoover josh hoover: indiana's curt cignetti blasts 'unfair scrutiny' of qb josh hoover story is actually a money story — the other side of the fight,RESEARCH,5.6,closed,0,trends|news,3,v2
